ID,day,Gammaproteobacteria,Bacilli,Bacteroidia,Clostridia,Actinobacteria,Alphaproteobacteria,Deinococci
CMU_16_15,7,0.16957606,0.02244389,0.152119701,0,0.097256858,0.162094763,0
CMU_16_15,6,0.457534247,0.084931507,0.079452055,0.005479452,0.131506849,0.079452055,0.01369863
CMU_16_15,5,0.403508772,0.070175439,0.140350877,0,0.070175439,0.315789474,0
CMU_16_15,4,0.184615385,0.084615385,0,0,0.246153846,0.353846154,0.023076923
CMU_16_15,3,0.657894737,0.052631579,0,0,0.131578947,0.052631579,0.052631579
CMU_16_15,2,0.7421875,0.0859375,0.078125,0,0.0234375,0,0.015625
CMU_16_15,1,0.153583618,0.04778157,0.030716724,0.013651877,0.112627986,0.184300341,0.006825939
CMU_16_3,21,0.022303595,0.012316911,0.031624501,0.406125166,0.501498003,0.003661784,0
CMU_16_3,20,0.009291521,0.010162602,0.003774681,0.161730546,0.515679443,0.029907085,0
CMU_16_3,19,0.07970313,0.023233301,0.075830913,0.227815424,0.50887383,0.023555986,0
CMU_16_3,18,0.010869565,0.043478261,0,0.190217391,0.717391304,0.010869565,0
CMU_16_3,17,0.312620115,0.053171044,0.062780269,0.060217809,0.345932095,0.046124279,0
CMU_16_3,16,0.692307692,0,0,0,0,0,0
CMU_16_3,15,0.091836735,0.022108844,0.027210884,0.181972789,0.557823129,0.051020408,0
CMU_16_3,14,0.039092664,0.02027027,0.041988417,0.173745174,0.613416988,0.055984556,0
CMU_16_3,13,0.021451271,0.0625,0.113082627,0.043961864,0.731197034,0.015360169,0
CMU_16_3,12,0.062987737,0.033584169,0.008500557,0.31925864,0.501393534,0.008918618,0.000418
CMU_16_3,11,0.881918185,0.049501547,0.028532142,0.006359574,0.021828807,0.002578206,0
CMU_16_3,10,0.357397858,0.140817136,0.030940103,0.086076954,0.324077747,0.056326854,0
CMU_16_3,9,0.617630353,0.063841872,0.104169033,0.039191185,0.134386005,0.013063728,0.000909
CMU_16_3,8,0.718446602,0.145631068,0.077669903,0.019417476,0.038834951,0,0
CMU_16_3,7,0.807734205,0.045751634,0.024782135,0.024509804,0.072440087,0.003540305,0
CMU_16_3,6,0.729101445,0.137214414,0.105042297,0.014254313,0.007326983,0.001998268,0
CMU_16_3,5,0.848420413,0.104040097,0.036755772,0.001215067,0.008353584,0.001215067,0
CMU_16_3,4,0.810260586,0.083876221,0.076004343,0.019815418,0.002714441,0.002985885,0
CMU_16_3,3,0.600746269,0.063432836,0.134328358,0.018656716,0.149253731,0.03358209,0
CMU_16_3,2,0.76344236,0.10230839,0.093242207,0.00536997,0.020364042,0.009066183,0
CMU_16_3,1,0.725255973,0.183381465,0.027697558,0.009976372,0.037542662,0.007482279,0
CMU_16_4,21,0.418804267,0.467824361,0.028677747,0.005805011,0.059092037,0.001438849,0
CMU_16_4,20,0.429487179,0.044871795,0.115384615,0,0.16025641,0.224358974,0
CMU_16_4,19,0.271477663,0.219931271,0.010309278,0.10652921,0.326460481,0.006872852,0.027491409
CMU_16_4,18,0.5,0.26486014,0.016608392,0.017482517,0.15472028,0.027972028,0
CMU_16_4,17,0.408071749,0.170403587,0.116591928,0.049327354,0.179372197,0,0
CMU_16_4,16,0.126079447,0.062176166,0.22970639,0.028497409,0.18566494,0.094127807,0
CMU_16_4,15,0.151133501,0.214105793,0.173803526,0.065491184,0.317380353,0.037783375,0
CMU_16_4,14,0.690378507,0.115272631,0.134462679,0.015087348,0.02541027,0.006617258,0.000331
CMU_16_4,13,0.676655287,0.13659544,0.118093311,0.005984743,0.023601804,0.014666835,0.000337
CMU_16_4,12,0.679282869,0.105577689,0.075697211,0.033864542,0.041832669,0.029880478,0
CMU_16_4,11,0.911098941,0.050200803,0.018254838,0.012960935,0.006024096,0.000913,0
CMU_16_4,10,0.542056075,0.121495327,0.093457944,0.224299065,0.018691589,0,0
CMU_16_4,9,0.592185762,0.265572859,0.097330367,0.009176863,0.025444939,0.004032258,0
CMU_16_4,8,0.627139364,0.11002445,0.193154034,0.012224939,0.026894866,0.019559902,0
CMU_16_4,7,0.630097438,0.19704078,0.126669073,0.010465536,0.024900758,0.007217611,0
CMU_16_4,6,0.736010533,0.103357472,0.083607637,0.011356155,0.031599737,0.011356155,0
CMU_16_4,5,0.758336198,0.133551048,0.08336198,0.013578549,0.00464077,0.000688,0
CMU_16_4,4,0.637144201,0.208656787,0.09550694,0.020818631,0.023406257,0.002470007,0
CMU_16_4,3,0.696205572,0.154658982,0.115994236,0.016810759,0.008165226,0.00192123,0.00048
CMU_16_4,2,0.525937749,0.343974461,0.08028731,0.025698324,0.003351955,0.000958,0
CMU_16_4,1,0.525937749,0.343974461,0.08028731,0.025698324,0.003351955,0.000958,0
CMU_16_5,21,0.000688,0.037349398,0.021170396,0.292598967,0.636660929,0.000516,0
CMU_16_5,20,0.029266633,0.193636209,0.044240259,0.295218649,0.124893653,0.031138336,0
CMU_16_5,19,0.006832848,0.151967607,0.051879033,0.131342528,0.558015943,0.033911173,0.000633
CMU_16_5,18,0.014599794,0.070937822,0.092408107,0.195293714,0.484369632,0.029886637,0.000859
CMU_16_5,17,0.109289617,0.382513661,0.087431694,0.038251366,0.240437158,0.12568306,0
CMU_16_5,16,0.046632124,0.14507772,0.010362694,0.139896373,0.440414508,0,0
CMU_16_5,15,0.309623431,0.179916318,0,0.075313808,0.435146444,0,0
CMU_16_5,14,0.370073123,0.214374889,0.067594079,0.031389335,0.263420724,0.00945247,0
CMU_16_5,13,0.536708861,0.100632911,0.060759494,0.063291139,0.15,0.028481013,0
CMU_16_5,12,0.349564172,0.221220319,0.078449053,0.009918846,0.107604448,0.075142771,0.003606853
CMU_16_5,11,0.393128246,0.135037954,0.075509389,0.022972433,0.299640431,0.02776668,0.001997603
CMU_16_5,10,0.174624015,0.206731917,0.00513249,0.05204106,0.55753163,0.000836,0
CMU_16_5,9,0.108853411,0.210691824,0.012941461,0.030962748,0.615989357,0,0
CMU_16_5,8,0.401665771,0.100752284,0.12869425,0.007254164,0.349274584,0.004030091,0
CMU_16_5,7,0.582444866,0.109537024,0.170439609,0.010223456,0.120052578,0.000584,0
CMU_16_5,6,0.644008715,0.167320261,0.137908497,0.011764706,0.028976035,0.001525054,0
CMU_16_5,5,0.75693022,0.095998908,0.122627339,0.005598798,0.017479175,0,0
CMU_16_5,4,0.695411606,0.288259109,0.007962213,0.006747638,0.00054,0,0
CMU_16_5,3,0.383108588,0.463875089,0.014194464,0.048119233,0.035202271,0.029240596,0.000852
CMU_16_5,2,0.51784998,0.363417569,0.011231448,0.036903329,0.05615724,0.004813478,0
CMU_16_5,1,0.681185654,0.263717615,0.004412264,0.034958706,0.004072859,0.004751669,0
CMU_16_9,21,0.120820248,0.069277665,0.021429891,0.018289304,0.584518751,0.072233512,0.011269167
CMU_16_9,20,0.159292035,0.10619469,0.017699115,0,0.345132743,0.132743363,0.061946903
CMU_16_9,19,0.066617321,0.076486553,0.053540587,0.007401925,0.49247471,0.15420676,0.017517888
CMU_16_9,18,0.146666667,0.266666667,0,0.026666667,0.346666667,0,0
CMU_16_9,17,0,0.5,0,0,0.25,0,0.25
CMU_16_9,16,0.071428571,0.5,0,0,0.214285714,0,0.214285714
CMU_16_9,15,0.303030303,0.163636364,0.060606061,0,0.078787879,0.212121212,0.012121212
CMU_16_9,14,0.474459975,0.159085133,0.014485388,0.028208386,0.112071156,0.082337992,0.013977128
CMU_16_9,13,0.065379362,0.930026077,0.000124,0.003414876,0.000186,0.000248,0
CMU_16_9,12,0.055889457,0.750154468,0.006347245,0.116946582,0.019210245,0.022636634,0.000899
CMU_16_9,11,0.039983427,0.866790967,0.000691,0.06981562,0.00414336,0.005593536,0
CMU_16_9,10,0.022603542,0.783198953,0.003790228,0.139618221,0.008751981,0.007098064,0.000345
CMU_16_9,9,0.021832431,0.833830939,0.007370778,0.09526031,0.011755925,0.014648255,0.00028
CMU_16_9,8,0.0065037,0.743047769,0.02758466,0.039302534,0.048553487,0.06649473,0.002691186
CMU_16_9,7,0.01974821,0.364189912,0.044598042,0.300501934,0.069118736,0.083107052,0.001234263
CMU_16_9,6,0.016409817,0.351598174,0.041024543,0.179580479,0.106164384,0.169449201,0.004851598
CMU_16_9,5,0.008222602,0.315353243,0.050059203,0.192606236,0.081633996,0.146099197,0.004473096
CMU_16_9,4,0.023213724,0.768177526,0.010937992,0.069247718,0.031712307,0.030138495,0.001809884
CMU_16_9,3,0.060386473,0.444444444,0.031400966,0.026570048,0.103864734,0.198067633,0.028985507
CMU_16_9,2,0.013024013,0.403032153,0.030728531,0.163207163,0.10989011,0.128612129,0.003256003
CMU_16_9,1,0.019412643,0.150074664,0.035589846,0.133399701,0.236933798,0.301891488,0.00149328
CMU_17_1,21,0.477107224,0.121536787,0.057420273,0.023687955,0.12521972,0.125303423,0.005775508
CMU_17_1,20,0.329411765,0.623529412,0,0,0.023529412,0,0
CMU_17_1,19,0.040153663,0.509375286,0.012165005,0.007317296,0.409768591,0.013536998,0.000549
CMU_17_1,18,0.09351098,0.223044658,0.027880582,0.00074,0.270663706,0.092770787,0.008882309
CMU_17_1,17,0.182666667,0.244,0,0.004,0.385333333,0.133333333,0.010666667
CMU_17_1,16,0.402020202,0.234343434,0.123232323,0.018181818,0.062626263,0.115151515,0.038383838
CMU_17_1,15,0,0,0,0,0,0,0
CMU_17_1,14,0.7,0.275,0,0,0,0.025,0
CMU_17_1,13,0.157925072,0.226512968,0.01556196,0,0.438616715,0.09221902,0.029971182
CMU_17_1,12,0.36996337,0.188644689,0.058608059,0,0.038461538,0.117216117,0.155677656
CMU_17_1,11,0.552,0.172,0.024,0,0.014,0.072,0.156
CMU_17_1,10,0.759152216,0.146435453,0.026974952,0.01734104,0.02504817,0.009633911,0.015414258
CMU_17_1,9,0.581787521,0.117200675,0.014333895,0,0.073355818,0.080944351,0.046374368
CMU_17_1,8,0.955595027,0.013321492,0.028419183,0,0,0,0.002664298
CMU_17_1,7,0.859649123,0.010156971,0.111726685,0.002770083,0.004616805,0.007386888,0.001846722
CMU_17_1,6,0.627202359,0.012937707,0.357464062,0,0.001142647,0.000663,0.000442
CMU_17_1,5,0.25,0.375,0.078125,0,0,0.109375,0.09375
CMU_17_1,4,0.542682927,0.12804878,0.048780488,0,0.085365854,0.036585366,0.054878049
CMU_17_1,3,0.666666667,0.111814346,0.103375527,0,0.065400844,0.035864979,0.016877637
CMU_17_1,2,0.314516129,0.25,0.153225806,0,0.064516129,0.096774194,0.036290323
CMU_17_1,1,0.748945148,0.084388186,0.03164557,0,0.107594937,0.008438819,0.010548523
CMU_17_10,21,0.270422535,0.425352113,0.025352113,0.076056338,0.107042254,0.050704225,0.005633803
CMU_17_10,20,0.052982137,0.580684226,0.069330911,0.008174387,0.085679685,0.108991826,0.010596427
CMU_17_10,19,0.165505226,0.017421603,0.148083624,0,0.177700348,0.294425087,0.029616725
CMU_17_10,18,0.03453136,0.028893587,0.118393235,0.001409443,0.135306554,0.263565891,0.009866103
CMU_17_10,17,0.089552239,0.021144279,0.077114428,0.051616915,0.231965174,0.294776119,0.015547264
CMU_17_10,16,0.318627451,0.012745098,0.066666667,0.115686275,0.148039216,0.159803922,0.008823529
CMU_17_10,15,0.745322245,0.046257796,0.031704782,0.008316008,0.061850312,0.082640333,0.001039501
CMU_17_10,14,0.620730271,0.107184923,0.036513545,0.023557126,0.09540636,0.0795053,0.001766784
CMU_17_10,13,0.967029559,0.030830309,0,0.001395738,0.000682,0,0
CMU_17_10,12,0.874813121,0.029285023,0.014158825,0.030142468,0.016577258,0.018336118,0.000616
CMU_17_10,11,0.735325507,0.088580576,0.040554963,0.06189968,0.019210245,0.033084312,0.01280683
CMU_17_10,10,0.399463207,0.327219861,0.07246701,0.087676135,0.029299933,0.049876985,0.002683963
CMU_17_10,9,0.486983239,0.053301512,0.074177708,0.246097715,0.084986147,0.019312539,0.001426494
CMU_17_10,8,0.045090615,0.041448681,0.008208804,0.873052577,0.011243749,0.008902506,0.001416308
CMU_17_10,7,0.155282332,0.051001821,0.050546448,0.68442623,0.009562842,0.021857923,0.003187614
CMU_17_10,6,0.170090386,0.048479869,0.06409203,0.40673788,0.0673788,0.056696795,0.005751849
CMU_17_10,5,0.969872385,0.004315222,0.002762794,0.000605,0.006078148,0.007025391,0.000737
CMU_17_10,4,0.070224719,0.073033708,0.037921348,0.546348315,0.064606742,0.14747191,0.002808989
CMU_17_10,3,0.076710799,0.037944742,0.089654719,0.064522488,0.195242945,0.257761424,0.006504813
CMU_17_10,2,0.172774869,0.05061082,0.106457243,0.218150087,0.148342059,0.076788831,0.02617801
CMU_17_10,1,0.214285714,0.055803571,0.008928571,0.401785714,0.033482143,0.104910714,0.005952381
CMU_17_12,21,0.013548333,0.611919209,0.12617405,0.007646912,0.165904746,0.029673344,0.003906575
CMU_17_12,20,0.108692933,0.345340838,0.081550969,0.002001251,0.150343965,0.15272045,0.011507192
CMU_17_12,19,0.085381302,0.112237142,0.124398277,0.008107423,0.254877122,0.18621738,0.020775272
CMU_17_12,18,0.181818182,0.227272727,0.181818182,0,0.090909091,0.090909091,0
CMU_17_12,17,0.036683786,0.071460015,0.142773294,0.000514,0.138297872,0.31841526,0.018855466
CMU_17_12,16,0.036683786,0.071460015,0.142773294,0.000514,0.138297872,0.31841526,0.018855466
CMU_17_12,15,0.926911418,0.006820478,0.002020882,0.051027282,0.005557427,0.001936679,0.001684069
CMU_17_12,14,0.176470588,0.284313725,0.117647059,0,0.137254902,0.18627451,0.029411765
CMU_17_12,13,0.381322957,0.120622568,0.015564202,0.011673152,0.159533074,0.175097276,0.027237354
CMU_17_12,12,0.09486166,0.075098814,0.071146245,0.071146245,0.264822134,0.18972332,0.051383399
CMU_17_12,11,0.055292259,0.055292259,0.110584518,0,0.17535545,0.274881517,0.007898894
CMU_17_12,10,0.033253205,0.022035256,0.150507479,0.001469017,0.16653312,0.281784188,0.013755342
CMU_17_12,9,0.709190355,0.147138125,0.031584624,0.001232571,0.022648486,0.042908867,0.002156999
CMU_17_12,8,0.457416655,0.051963828,0.060062087,0.003779187,0.139425024,0.135915778,0.010932649
CMU_17_12,7,0.065813528,0.034430225,0.136502133,0.00944546,0.217550274,0.17519805,0.022547227
CMU_17_12,6,0.074204947,0.236749117,0.049469965,0,0.243816254,0.159010601,0.03180212
CMU_17_12,5,0.221363456,0.145065398,0.088386841,0.001288149,0.179845422,0.19163694,0.013971463
CMU_17_12,4,0.200501253,0.070175439,0.125313283,0.015037594,0.126566416,0.21679198,0.021303258
CMU_17_12,3,0.037386383,0.037043389,0.144057623,0.003344195,0.197650489,0.273280741,0.010118333
CMU_17_12,2,0.033351601,0.026070618,0.106631175,0.003523056,0.21835121,0.271431927,0.014248806
CMU_17_12,1,0.035263158,0.026842105,0.131789474,0.003578947,0.205368421,0.259473684,0.021052632
CMU_17_4,21,0.095092025,0.147239264,0.147239264,0.006134969,0.285276074,0.13803681,0
CMU_17_4,20,0.105678233,0.157728707,0.272870662,0.007886435,0.216088328,0.140378549,0.004731861
CMU_17_4,19,0.570776256,0.150684932,0.066210046,0.077625571,0.063926941,0.054794521,0
CMU_17_4,18,0.711111111,0.01,0.071111111,0,0.112222222,0.075555556,0
CMU_17_4,17,0.365108095,0.179989945,0.089492207,0.004725993,0.146606335,0.126797386,0.00231272
CMU_17_4,16,0.457912458,0.067340067,0.158249158,0,0.154882155,0.084175084,0.006734007
CMU_17_4,15,0.362369338,0.146341463,0.149825784,0.013937282,0.170731707,0.104529617,0.017421603
CMU_17_4,14,0.775524337,0.093688168,0.075286901,0.013949347,0.01800554,0.009200633,0.001385042
CMU_17_4,13,0.854368932,0.01618123,0.113807983,0.000771,0.006164278,0.004623209,0.000385
CMU_17_4,12,0.609756098,0.182926829,0.024390244,0.073170732,0.024390244,0.06097561,0
CMU_17_4,11,0.330798479,0.178707224,0.057034221,0.087452471,0.216730038,0.102661597,0
CMU_17_4,10,0.607902382,0.059500291,0.226728646,0.026728646,0.032655433,0.021847763,0.001975596
CMU_17_4,9,0.397796589,0.134694386,0.345698992,0.053280219,0.031681813,0.01170173,0.001369351
