ID,day,Gammaproteobacteria,Bacilli,Bacteroidia,Clostridia,Actinobacteria,Alphaproteobacteria,Erysipelotrichia,Fusobacteriia,Thermoleophilia,Negativicutes,Deinococci,others
CMU_16_12_face,21,0.033235389,0.151139534,0.039729376,0.102200054,0.632583521,0.003802563,0.01103731,0.010197783,0.001012371,0.006691523,0.001481518,0.006888598
CMU_16_12_face,20,0.02689755,0.301611857,0.011727132,0.022605918,0.599530915,0.009581316,0.001546983,0.002944259,0.002445232,0.005539199,0.000549,0.015019408
CMU_16_12_face,19,0.031820309,0.473561067,0.007487131,0.009124942,0.427468414,0.014272344,0.001169864,0.0,0.004679457,0.003977539,0.005381376,0.021057611
CMU_16_12_face,18,0.139516758,0.376461419,0.0,0.006235386,0.325019486,0.034294622,0.0,0.0,0.008573655,0.038191738,0.003117693,0.068589243
CMU_16_12_face,17,0.620169402,0.130757014,0.011646374,0.012175754,0.197723663,0.009793542,0.0,0.0,0.004235045,0.0,0.002646903,0.010851781
CMU_16_12_face,16,0.185415346,0.078757134,0.073684211,0.013316424,0.232974001,0.259480025,0.001521877,0.000888,0.012809131,0.001395054,0.004185162,0.1355751369999999
CMU_16_12_face,15,0.332061069,0.086513995,0.066157761,0.0,0.16475827,0.152671756,0.0,0.0,0.007633588,0.0,0.001272265,0.188931299
CMU_16_12_face,14,0.238520801,0.031124807,0.078890601,0.0,0.141448382,0.213867488,0.0,0.0,0.01972265,0.008012327,0.017565485,0.2508466259999999
CMU_16_12_face,13,0.321649485,0.058419244,0.07628866,0.027835052,0.157731959,0.146735395,0.0,0.0,0.027491409,0.000687,0.009278351,0.1738831619999999
CMU_16_12_face,12,0.933300149,0.007964161,0.007466401,0.000996,0.017421603,0.015928323,0.0,0.0,0.000996,0.0,0.000996,0.014934241
CMU_16_12_face,11,0.944444444,0.030864198,0.0,0.0,0.00617284,0.00617284,0.0,0.0,0.0,0.0,0.0,0.01234568
CMU_16_12_face,10,0.847029797,0.02562156,0.022964509,0.004175365,0.030556083,0.024103245,0.0,0.0,0.002277472,0.0,0.007211995,0.0360600799999999
CMU_16_12_face,9,0.613259669,0.220994475,0.0,0.0,0.082872928,0.027624309,0.0,0.0,0.0,0.0,0.022099448,0.033149171
CMU_16_12_face,8,0.76433121,0.101910828,0.0,0.0,0.038216561,0.082802548,0.0,0.0,0.0,0.0,0.012738854,0.0
CMU_16_12_face,7,0.714705882,0.113235294,0.007352941,0.0,0.138235294,0.002941176,0.0,0.0,0.0,0.0,0.0,0.023529411
CMU_16_12_face,6,0.968664737,0.004381976,0.004216618,0.0,0.006035552,0.005208764,0.0,0.000165,0.0,0.0,0.002149649,0.009177697
CMU_16_12_face,5,0.959478022,0.003434066,0.00206044,0.0,0.01510989,0.006181319,0.0,0.0,0.004120879,0.0,0.0,0.009615386
CMU_16_12_face,4,0.927678031,0.007363325,0.004942506,0.001008675,0.023804721,0.013717975,0.0,0.0,0.002319952,0.0,0.002420819,0.016744636
CMU_16_12_face,3,0.504950495,0.118811881,0.0,0.0,0.158415842,0.148514851,0.0,0.0,0.0,0.0,0.03960396,0.02970297
CMU_16_12_face,2,0.846597463,0.026528258,0.08650519,0.0,0.023068051,0.00922722,0.0,0.0,0.003460208,0.0,0.0,0.00461361
CMU_16_12_face,1,0.938967136,0.028169014,0.0,0.014084507,0.009389671,0.0,0.0,0.0,0.0,0.0,0.009389671,0.0
CMU_16_14_face,21,0.004793253,0.299305282,0.001425841,0.059369596,0.631768953,0.000546,0.0,6.07e-05,0.0,0.001122471,0.0,0.001607834
CMU_16_14_face,20,0.043891885,0.306576374,0.009350365,0.175893545,0.422322328,0.012595578,0.0,0.0,0.002948847,0.002074566,0.001496651,0.0228505919999999
CMU_16_14_face,19,0.403763031,0.148360031,0.027968472,0.082506992,0.275870837,0.020340707,0.0,0.0,0.006992118,0.012331554,0.005085177,0.016781271
CMU_16_14_face,18,0.074009032,0.230807827,0.007526342,0.21224285,0.450827898,0.009282489,0.0,0.0,0.000502,0.003512293,0.0,0.011290001
CMU_16_14_face,17,0.012437527,0.379470093,0.010041306,0.206211917,0.369154933,0.005271686,4.56e-05,0.000411,0.0,0.005819393,0.000365,0.010771317
CMU_16_14_face,16,0.233238905,0.264872521,0.037771483,0.103399433,0.279508971,0.01605288,0.0,0.0,0.0,0.002832861,0.005665722,0.056656937
CMU_16_14_face,15,0.134674923,0.273993808,0.03869969,0.084623323,0.355521156,0.063983488,0.0,0.0,0.00619195,0.004643963,0.008255934,0.029411764
CMU_16_14_face,14,0.054596242,0.263585576,0.062468258,0.13991874,0.320213306,0.088369731,0.0,0.0,0.003301168,0.006602336,0.008125952,0.052818944
CMU_16_14_face,13,0.16464891,0.365617433,0.020581114,0.069007264,0.245762712,0.062953995,0.0,0.0,0.0,0.008474576,0.0,0.062953994
CMU_16_14_face,12,0.138732394,0.167605634,0.063380282,0.105633803,0.34084507,0.084507042,0.0,0.0,0.019014085,0.0,0.0,0.0802816909999999
CMU_16_14_face,11,0.232646834,0.237223494,0.053394355,0.08085431,0.251716247,0.041952708,0.0,0.0,0.0,0.0,0.009916095,0.0922959579999999
